Species	Status	min_age	max_age
Xinminosaurus_catactes	extinct	243.43	244.34
Grippia_longirostris	extinct	246.8	248.2
Grippia_longirostris	extinct	246.8	248.2
Grippia_longirostris	extinct	246.8	248.2
Mixosaurus_kuhnschneyderi	extinct	243.43	244.34
Baisesaurus_robustus	extinct	246.9	247.79
Eurhinosaurus_longirostris	extinct	180.36	181.21
Eurhinosaurus_longirostris	extinct	178.24	180.36
Eurhinosaurus_longirostris	extinct	178.24	183.7
Eurhinosaurus_longirostris	extinct	182.05	182.9
Eurhinosaurus_longirostris	extinct	181.21	182.9
Eurhinosaurus_longirostris	extinct	181.21	182.9
Eurhinosaurus_longirostris	extinct	181.21	182.9
Eurhinosaurus_longirostris	extinct	181.21	182.9
Eurhinosaurus_longirostris	extinct	181.21	182.9
Eurhinosaurus_longirostris	extinct	180.36	182.9
Eurhinosaurus_longirostris	extinct	180.36	183.7
Eurhinosaurus_longirostris	extinct	180.36	183.7
Eurhinosaurus_longirostris	extinct	180.36	183.7
Excalibosaurus_costini	extinct	197.95	199.36
Excalibosaurus_costini	extinct	197.95	199.36
Gengasaurus_nicosiae	extinct	150.94	153.55
Ichthyosaurus_anningae	extinct	190.74	191.05
Ichthyosaurus_anningae	extinct	183.7	199.4
Ichthyosaurus_anningae	extinct	183.7	199.4
Ichthyosaurus_anningae	extinct	193.24	200.16
Ichthyosaurus_breviceps	extinct	196.54	200.16
Ichthyosaurus_breviceps	extinct	196.54	200.16
Ichthyosaurus_breviceps	extinct	196.54	200.16
Ichthyosaurus_breviceps	extinct	196.54	200.16
Ichthyosaurus_breviceps	extinct	196.54	200.16
Ichthyosaurus_breviceps	extinct	196.54	200.16
Ichthyosaurus_breviceps	extinct	196.54	200.16
Ichthyosaurus_breviceps	extinct	196.54	200.16
Ichthyosaurus_larkini	extinct	201.16	201.36
Ichthyosaurus_larkini	extinct	201.16	201.36
Ichthyosaurus_larkini	extinct	201.16	201.36
Ichthyosaurus_larkini	extinct	201.16	201.36
Ichthyosaurus_somersetensis	extinct	201.16	201.36
Ichthyosaurus_somersetensis	extinct	201.16	201.36
